,question,answer,answer_context
258,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: I am requesting vacation leave.
259,"Please provide an emergency contact method if needed (Phone, Email).",email,Employee: You can use my email for any emergency contact during my time off.
260,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",family vacation,Employee: I will be going on a family vacation. There are no other notes.
261,Are there any additional notes or information related to your time off request?,no other notes,Employee: I will be going on a family vacation. There are no other notes.
262,"Have you taken any other time off recently? (If yes, please provide details)",I have not taken any other time off recently,Employee: I have not taken any other time off recently.  
263,Have you arranged for someone to cover your responsibilities? (Provide details),John,"Employee: John will be covering my responsibilities during my time off. My time away will start on June 1st, 2023."
264,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: John will be covering my responsibilities during my time off. My time away will start on June 1st, 2023."
265,What is the job role of the employee?,musician,"Employee: Over the past year I've been working as a musician. For the coming year, I'd like to focus on releasing my first album and doing a tour to promote it."
266,What goals should be set for the next review period?,releasing my first album and doing a tour to promote it,"Employee: Over the past year I've been working as a musician. For the coming year, I'd like to focus on releasing my first album and doing a tour to promote it."
267,Describe the skill development or learning growth shown by the employee.,improved significantly,Employee: My guitar skills have improved significantly over the past year.
268,How would you rate the employee’s contribution to team projects? (Rate from 1 to 5),5,Employee: I would rate my contributions to band projects as a 5. I would rate how well I achieved my goals from last year as a 4.  
269,How well did the employee achieve their set goals? (Rate from 1 to 5),4,Employee: I would rate my contributions to band projects as a 5. I would rate how well I achieved my goals from last year as a 4.  
270,What is the overall performance rating of the employee? (Rate from 1 to 5),4,Employee: I would give my overall performance from January 2023 to December 2023 a rating of 4.
271,What is the time period for this review? (Enter the date range in YYYY-MM-DD format),January 2023 to December 2023,Employee: I would give my overall performance from January 2023 to December 2023 a rating of 4.
272,What areas require improvement for the employee?,time management and leadership skills,Employee: Two areas I could improve are time management and leadership skills. My name is Elijah Barnes.
273,What is the name of the employee being reviewed?,Elijah Barnes,Employee: Two areas I could improve are time management and leadership skills. My name is Elijah Barnes.
274,"What type of additional training, if any, does the employee need?",music production,"Employee: Taking some music production classes could help improve my skills. Over the past year I showed that I'm creative, passionate and help motivate those around me."
275,Describe any leadership qualities exhibited by the employee.,help motivate those around me,"Employee: Taking some music production classes could help improve my skills. Over the past year I showed that I'm creative, passionate and help motivate those around me."
276,What is your estimated annual premium budget in USD? (Enter a number),around five thousand dollars,Employee: My estimated annual premium budget is around five thousand dollars.
277,"Please enter your preferred contact method (Email, Phone, Mail).",email,Employee: You can contact me by email. 
278,"What type of benefit do you want to enroll in? (e.g., Health Insurance, Dental Insurance, etc.)",health insurance,Employee: I would like to enroll in health insurance and add one dependent.
279,How many dependents do you want to add to the plan? (Enter a number),one,Employee: I would like to enroll in health insurance and add one dependent.
280,When do you want the coverage to start? (Enter the date in YYYY-MM-DD format),2023-03-01,Employee: I would like the coverage to start on 2023-03-01 and I will select Plan A.
281,"Select your benefit plan by entering the plan code (e.g., Plan A, Plan B, etc.).",Plan A,Employee: I would like the coverage to start on 2023-03-01 and I will select Plan A.
282,Do we have your updated personal information on file? (Answer with Yes or No),Yes,"Employee: Yes, you have my updated personal information on file. I have not previously been covered under a health plan for any years."
283,How many years have you been previously covered under a health plan? (Enter a number),I have not previously been covered under a health plan for any years,"Employee: Yes, you have my updated personal information on file. I have not previously been covered under a health plan for any years."
284,Are there any additional notes or information you would like to add?,Unfortunately there weren't any witnesses around,Employee: This was the first time anything like this has happened. Unfortunately there weren't any witnesses around.  
285,"Were there any witnesses to the incident? (Provide names or state ""None"")",Unfortunately there weren't any witnesses around,Employee: This was the first time anything like this has happened. Unfortunately there weren't any witnesses around.  
286,What time did the harassment occur? (Enter the time in HH:MM format),1:45pm,Employee: The harassment occurred at around 1:45pm.
287,"Have there been any previous similar incidents? (Yes/No, if yes, please describe)",No,"Employee: No, this was my first experience with harassment at work. I've been feeling quite upset and embarrassed about the whole ordeal."
288,How has this incident affected you or the victim?,I've been feeling quite upset and embarrassed,"Employee: No, this was my first experience with harassment at work. I've been feeling quite upset and embarrassed about the whole ordeal."
289,Please describe the harassment incident in detail.,"During a heated argument in the kitchen, my colleague started yelling insults at me","Employee: During a heated argument in the kitchen, my colleague started yelling insults at me.  "
290,Where did the harassment occur? (Please specify the location),the kitchen area,Employee: The harassment occurred in the kitchen area.
291,"What type of harassment are you reporting? (e.g., Workplace, Online, Physical, Verbal)",verbal,Employee: It was a case of verbal harassment that happened while I was at work.
292,What outcome or resolution are you seeking with this report?,an apology from my colleague and some workplace training to prevent future issues,"Employee: I'm hoping for an apology from my colleague and some workplace training to prevent future issues. The harassment took place on March 15th, 2021."
293,When did the harassment incident occur? (Enter the date in YYYY-MM-DD format),"March 15th, 2021","Employee: I'm hoping for an apology from my colleague and some workplace training to prevent future issues. The harassment took place on March 15th, 2021."
294,"Please provide your contact information (Name, Email, Phone).",555-0345,"Employee: My name is Amir Khaled, you can reach me at 555-0345. The person who harassed me was my colleague James."
295,Who was involved in the incident? (Names or descriptions of individuals),my colleague James,"Employee: My name is Amir Khaled, you can reach me at 555-0345. The person who harassed me was my colleague James."
296,By when do you aim to achieve this goal? (Enter the date in YYYY-MM-DD format),"December 31st, 2040","Employee: I'm aiming to have my target savings amount reached by December 31st, 2040."
297,How will you track and measure your progress?,review my account balances,Employee: I will review my account balances to monitor my progress.
298,What measurable criteria will you use to determine if the goal has been achieved?,Reaching my target savings amount,Employee: Reaching my target savings amount will let me know I've achieved it. I want to have a comfortable retirement.
299,What motivates you to achieve this goal?,I want to have a comfortable retirement,Employee: Reaching my target savings amount will let me know I've achieved it. I want to have a comfortable retirement.
300,What is the specific goal you want to achieve?,save enough money for a comfortable retirement,Employee: My goal is to save enough money for a comfortable retirement. This goal falls under the financial category.  
301,"Which category does this goal belong to? (e.g., Personal, Professional, Health, Financial)",financial,Employee: My goal is to save enough money for a comfortable retirement. This goal falls under the financial category.  
302,"What resources do you need to achieve this goal? (e.g., Time, Money, Support)",income,Employee: I'll need income going into my investment accounts to reach my goal.
303,How do you plan to hold yourself accountable to this goal?,I'll review my progress with my spouse every few months,Employee: I'll review my progress with my spouse every few months.
304,"How often do you plan to review and assess your progress? (e.g., Weekly, Monthly)",Every three months,Employee: Every three months I'll review my progress with my spouse.
305,Why is this goal important to you or your organization?,ensure my financial security in retirement,"Employee: Reaching this goal will ensure my financial security in retirement. My plan is to automatically save a portion of each paycheck, and limit unnecessary spending to reach my target savings amount.  "
306,What is your action plan to achieve this goal? (Outline the steps),"automatically save a portion of each paycheck, and limit unnecessary spending","Employee: Reaching this goal will ensure my financial security in retirement. My plan is to automatically save a portion of each paycheck, and limit unnecessary spending to reach my target savings amount.  "
307,What potential obstacles might you encounter while working towards this goal?,Potential market downturns or overspending,Employee: Potential market downturns or overspending on my part could pose obstacles to achieving my goal.
308,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",planned vacation,"Employee: I'll be taking a planned vacation and returning to work on June 15th, 2023.  "
309,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: I'll be taking a planned vacation and returning to work on June 15th, 2023.  "
310,Have you arranged for someone to cover your responsibilities? (Provide details),coworkers,"Employee: Yes, I've arranged for my coworkers to cover my responsibilities during my absence."
311,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited,Employee: I'll have limited availability during my time off in case anything important comes up.
312,Are there any additional notes or information related to your time off request?,no other information needed,Employee: There's no other information needed. I'm requesting vacation leave.
313,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,Employee: There's no other information needed. I'm requesting vacation leave.
314,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: My vacation will start on June 1st, 2023."
315,"Have you taken any other time off recently? (If yes, please provide details)",15 days,Employee: I haven't taken any other time off recently. The total number of days I'll be out is 15 days.
316,How many total days are you taking off?,15 days,Employee: I haven't taken any other time off recently. The total number of days I'll be out is 15 days.
317,"Please provide an emergency contact method if needed (Phone, Email).",email,Employee: You can contact me by email only during my time off.
318,Are there any special accommodations or requirements needed for the relocation?,"No, I don't need any accommodations","Employee: No, I don't need any accommodations.  "
319,"Do you need packing and moving services? (e.g., Full-service, Self-pack)","No, I don't need any moving services","Employee: No, I don't need any moving services."
320,"Do you have any specific transportation needs for the relocation? (e.g., Vehicle transport, Flight arrangements)","No, I don't need any transportation","Employee: No, I don't need any transportation."
321,When do you wish to relocate? (Enter the date in YYYY-MM-DD format),I don't have a date planned yet,Employee: I don't have a date planned yet.
322,"Please provide your contact information for coordination (Name, Email, Phone).",Jordan Casey,Employee: My name is Jordan Casey.
323,"What is the primary reason for your relocation? (e.g., Job transfer, Family, Education)",job transfer,Employee: The reason is for a job transfer and my budget is $0.
324,What is your budget limit for the relocation? (Enter the amount in your local currency),$0,Employee: The reason is for a job transfer and my budget is $0.
325,How many individuals will be relocating with you? (Enter a number),Just me,"Employee: Just me, and I don't have a destination yet. "
326,"What is your destination location? (City, State/Province, Country)",don't have a destination yet,"Employee: Just me, and I don't have a destination yet. "
327,"What is your current location? (City, State/Province, Country)","Portland, Oregon","Employee: I'm in Portland, Oregon currently and I don't need any housing."
328,"What are your housing requirements at the destination? (e.g., Size, Type, Special Needs)",I don't need any housing,"Employee: I'm in Portland, Oregon currently and I don't need any housing."
329,"Do you require employment assistance in the new location? (e.g., Job search, Transferring within company)",I don't need any employment assistance,Employee: I don't need any employment assistance and it will be a permanent relocation.
330,Is this relocation temporary or permanent?,permanent,Employee: I don't need any employment assistance and it will be a permanent relocation.
331,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,"Employee: Yes, I'd like to request a vacation for 15 days."
332,How many total days are you taking off?,15,"Employee: Yes, I'd like to request a vacation for 15 days."
333,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",I'm taking my family on a trip,"Employee: I'm taking my family on a trip. My vacation will start on June 15th, 2023.  "
334,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: I'm taking my family on a trip. My vacation will start on June 15th, 2023.  "
335,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 30th, 2023","Employee: I will return on June 30th, 2023."
336,Have you arranged for someone to cover your responsibilities? (Provide details),John,Employee: John will be covering my responsibilities.
337,"Have you taken any other time off recently? (If yes, please provide details)",Please contact me by email only,Employee: I have not taken any other time off recently. Please contact me by email only.
338,"Please provide an emergency contact method if needed (Phone, Email).",email,Employee: I have not taken any other time off recently. Please contact me by email only.
339,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited availability,Employee: I will have limited availability. There is no additional information.
340,Are there any additional notes or information related to your time off request?,no additional information,Employee: I will have limited availability. There is no additional information.
341,Is there any additional information that might help in resolving the issue?,it just started happening after the last update,Employee: Well it just started happening after the last update. I tried restarting my phone to see if that would help but it didn't seem to make a difference.
342,"What steps have you already taken to resolve the issue, if any?",restarting my phone,Employee: Well it just started happening after the last update. I tried restarting my phone to see if that would help but it didn't seem to make a difference.
343,"How severe is the issue? (e.g., Low, Medium, High, Critical)",medium,Employee: I'd say it's about a medium severity issue.
344,"Which device or application is affected? (e.g., Laptop, CRM software)",iPhone,Employee: It's the music app on my iPhone.
345,Where are you located? (This can be important for physical hardware issues),"Nashville, Tennessee","Employee: I'm in Nashville, Tennessee. You can email me at my work address."
346,"What is your preferred method for IT support to contact you? (e.g., Email, Phone, In-person)",email,"Employee: I'm in Nashville, Tennessee. You can email me at my work address."
347,"What category does your IT issue fall into? (e.g., Hardware, Software, Network, Email)",software,Employee: It seems like it's a software problem with the app.
348,"Is this a recurring issue? (e.g., First time, Happens occasionally, Frequent)",a lot,Employee: It happens a lot but there aren't any messages when it crashes.
349,Are there any error messages or codes displayed? (Please provide the exact text or screenshot),there aren't any messages,Employee: It happens a lot but there aren't any messages when it crashes.
350,Please describe the specific problem you are experiencing.,The app just crashes and closes out whenever I open it,Employee: The app just crashes and closes out whenever I open it.
351,When did you first notice the issue? (Enter the date and time in YYYY-MM-DD HH:MM format),February 15th around 3pm,Employee: It started on February 15th around 3pm. It's making it hard for me to work on my music when the app keeps crashing.
352,"How is this issue impacting your work? (e.g., Cannot access critical data, Slowing down work)",It's making it hard for me to work on my music,Employee: It started on February 15th around 3pm. It's making it hard for me to work on my music when the app keeps crashing.
353,How many total days are you taking off?,8,Employee: I'm requesting 8 days off. I should be reachable by email if anything comes up.  
354,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",email,Employee: I'm requesting 8 days off. I should be reachable by email if anything comes up.  
355,"Please provide an emergency contact method if needed (Phone, Email).",myname@email.com,"Employee: Sure, it's myname@email.com."
356,Are there any additional notes or information related to your time off request?,No,"Employee: No, I think that covers it."
357,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation leave,"Employee: I'm requesting vacation leave. My time off will end on June 22nd, 2023."
358,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 22nd, 2023","Employee: I'm requesting vacation leave. My time off will end on June 22nd, 2023."
359,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",It's for a family trip,Employee: It's for a family trip we have planned.
360,Have you arranged for someone to cover your responsibilities? (Provide details),John,"Employee: John said he'd cover anything that comes up. My time off will start on June 15th, 2023.  "
361,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: John said he'd cover anything that comes up. My time off will start on June 15th, 2023.  "
362,"Have you taken any other time off recently? (If yes, please provide details)","No, this will be my first time off this year","Employee: No, this will be my first time off this year."
363,What immediate actions were taken following the incident?,First aid was administered,"Employee: First aid was administered, and it looks like one person was involved.  "
364,How many individuals were affected by the incident? (Enter a number),one,"Employee: First aid was administered, and it looks like one person was involved.  "
365,"How severe is the incident? (e.g., Minor, Moderate, Severe)",moderate,"Employee: It was moderate, I'm reporting a workplace injury."
366,"What type of safety incident are you reporting? (e.g., Workplace Injury, Fire, Hazardous Material Spill)",workplace injury,"Employee: It was moderate, I'm reporting a workplace injury."
367,"Were there any witnesses to the incident? (Provide names or state ""None"")",John Smith was there,Employee: John Smith was there.
368,When did the incident occur? (Enter the date in YYYY-MM-DD format),"February 15th, 2023","Employee: It occurred on February 15th, 2023. I think we may need some better floor mats in the office.  "
369,Are there any additional notes or observations you would like to report?,I think we may need some better floor mats in the office,"Employee: It occurred on February 15th, 2023. I think we may need some better floor mats in the office.  "
370,Where did the incident occur? (Please provide the specific location),in the office,Employee: It was in the office at 10:00 AM.
371,What time did the incident occur? (Enter the time in HH:MM format),10:00 AM,Employee: It was in the office at 10:00 AM.
372,"Was there any property damage? If yes, please describe.",No,"Employee: No, there was no property damage."
373,"Please provide your contact information (Name, Email, Phone).",555-1234,"Employee: My name is Sofia Alvarez, you can reach me at salvarez@lawfirm.com or 555-1234. I sprained my ankle."
374,"Were there any injuries sustained? If yes, please describe.",sprained my ankle,"Employee: My name is Sofia Alvarez, you can reach me at salvarez@lawfirm.com or 555-1234. I sprained my ankle."
375,"What type of benefit do you want to enroll in? (e.g., Health Insurance, Dental Insurance, etc.)",health insurance,Employee: I'm looking to enroll in a health insurance plan.
376,"Please enter your preferred contact method (Email, Phone, Mail).",email,"My email address is the best way to contact me, and I have not had any health insurance before. "
377,How many years have you been previously covered under a health plan? (Enter a number),not had any health insurance before,"My email address is the best way to contact me, and I have not had any health insurance before. "
378,Do we have your updated personal information on file? (Answer with Yes or No),Yes,"Yes, you should have my latest details. I would like to include 3 dependents on the plan."
379,How many dependents do you want to add to the plan? (Enter a number),3,"Yes, you should have my latest details. I would like to include 3 dependents on the plan."
380,"Select your benefit plan by entering the plan code (e.g., Plan A, Plan B, etc.).",Plan A,Plan A is the one I want to enroll in.
381,What is your estimated annual premium budget in USD? (Enter a number),$1000,"Around $1000 annually is my budget. I'm hoping to have everything in place starting January 1st, 2023."
382,When do you want the coverage to start? (Enter the date in YYYY-MM-DD format),"January 1st, 2023","Around $1000 annually is my budget. I'm hoping to have everything in place starting January 1st, 2023."
383,"Select your benefit plan by entering the plan code (e.g., Plan A, Plan B, etc.).",Plan A,Employee: I was thinking Plan A would work best for me.
384,Do we have your updated personal information on file? (Answer with Yes or No),Yes,"Employee: Yes, you have my updated information. I've actually never had health insurance before. "
385,How many years have you been previously covered under a health plan? (Enter a number),"Yes, you have my updated information. I've actually never","Employee: Yes, you have my updated information. I've actually never had health insurance before. "
386,When do you want the coverage to start? (Enter the date in YYYY-MM-DD format),"March 1st, 2023","Employee: March 1st, 2023 would work well for me."
387,"Please enter your preferred contact method (Email, Phone, Mail).",Phone,Employee: Phone is best for me. I'd like to add just one dependent.
388,How many dependents do you want to add to the plan? (Enter a number),one,Employee: Phone is best for me. I'd like to add just one dependent.
389,"What type of benefit do you want to enroll in? (e.g., Health Insurance, Dental Insurance, etc.)",Health insurance,Employee: Health insurance please. My estimated budget is $5000 per year.
390,What is your estimated annual premium budget in USD? (Enter a number),$5000,Employee: Health insurance please. My estimated budget is $5000 per year.
391,When did you first notice the issue? (Enter the date and time in YYYY-MM-DD HH:MM format),February 15th,Employee: The issues started around 10am on February 15th. I've been trying to use Gmail.
392,Is there any additional information that might help in resolving the issue?,Gmail,Employee: The issues started around 10am on February 15th. I've been trying to use Gmail.
393,"Is this a recurring issue? (e.g., First time, Happens occasionally, Frequent)",first,Employee: This is the first time it's happened. Email just won't load at all.
394,Please describe the specific problem you are experiencing.,Email just won't load at all,Employee: This is the first time it's happened. Email just won't load at all.
395,"Which device or application is affected? (e.g., Laptop, CRM software)",laptop,"Employee: It's my laptop that's the issue. I can't get to any of my emails, which is making it hard to get my work done."
396,"How is this issue impacting your work? (e.g., Cannot access critical data, Slowing down work)",hard to get my work done,"Employee: It's my laptop that's the issue. I can't get to any of my emails, which is making it hard to get my work done."
397,Are there any error messages or codes displayed? (Please provide the exact text or screenshot),"No, there haven't been any error messages","Employee: No, there haven't been any error messages."
398,Where are you located? (This can be important for physical hardware issues),Chicago,Employee: I'm in our Chicago office. This seems like it could be a software problem.
399,"What category does your IT issue fall into? (e.g., Hardware, Software, Network, Email)",software,Employee: I'm in our Chicago office. This seems like it could be a software problem.
400,"How severe is the issue? (e.g., Low, Medium, High, Critical)",high,Employee: I'd say it's a high priority to fix.
401,"What steps have you already taken to resolve the issue, if any?",restarted my laptop,Employee: I've restarted my laptop but no luck so far. Email is fine for now to keep me updated.
402,"What is your preferred method for IT support to contact you? (e.g., Email, Phone, In-person)",Email,Employee: I've restarted my laptop but no luck so far. Email is fine for now to keep me updated.
403,How many dependents do you want to add to the plan? (Enter a number),I would not like to add any dependents to the plan,Employee: I would not like to add any dependents to the plan.
404,How many years have you been previously covered under a health plan? (Enter a number),Yes,"Employee: Yes, I have not been previously covered under a health plan."
405,When do you want the coverage to start? (Enter the date in YYYY-MM-DD format),"March 1st, 2023","Employee: I would like my coverage to start on March 1st, 2023 and you can contact me through social media. "
406,"Please enter your preferred contact method (Email, Phone, Mail).",social media,"Employee: I would like my coverage to start on March 1st, 2023 and you can contact me through social media. "
407,"What type of benefit do you want to enroll in? (e.g., Health Insurance, Dental Insurance, etc.)",health insurance,"Employee: I am looking to enroll in health insurance and yes, you have my updated personal information."
408,Do we have your updated personal information on file? (Answer with Yes or No),yes,"Employee: I am looking to enroll in health insurance and yes, you have my updated personal information."
409,What is your estimated annual premium budget in USD? (Enter a number),"$85,000","Employee: My estimated annual premium budget is $85,000 and I would like to select Plan A."
410,"Select your benefit plan by entering the plan code (e.g., Plan A, Plan B, etc.).",Plan A,"Employee: My estimated annual premium budget is $85,000 and I would like to select Plan A."
411,"Please provide contact information for the person coordinating the training (Name, Email, Phone).",Priya Singh,Employee: You can contact Priya Singh. Her email is priya.dev@techcorp.com. She's coordinating it.
412,What are your preferred dates for the training? (Enter the dates in YYYY-MM-DD format),"April 15th, 2023","Employee: I was thinking April 15th, 2023. I'm hoping to improve my coding efficiency."
413,What are the desired outcomes or goals of this training?,improve my coding efficiency,"Employee: I was thinking April 15th, 2023. I'm hoping to improve my coding efficiency."
414,What is your budget for this training? (Enter the amount in your local currency),$1000,Employee: Our budget is around $1000. Online videos would probably be easiest since we're all remote.
415,"What format do you prefer for the training? (e.g., Online, In-person, Workshop, Seminar)",Online videos,Employee: Our budget is around $1000. Online videos would probably be easiest since we're all remote.
416,"What is the current skill level of the participants? (e.g., Beginner, Intermediate, Advanced)",intermediate,Employee: Most of our skills are at an intermediate level. We shouldn't need any special accommodations.
417,Are there any special requirements or accommodations needed for the training?,We shouldn't need any special accommodations,Employee: Most of our skills are at an intermediate level. We shouldn't need any special accommodations.
418,How many people will be participating in the training? (Enter a number),Just me,Employee: Just me. I think 2 days should be sufficient time. 
419,How long should the training last? (Specify in hours or days),2 days,Employee: Just me. I think 2 days should be sufficient time. 
420,What is the main topic or subject of the training you are requesting?,software development best practices,Employee: The main topic I'm interested in is software development best practices.
421,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited availability by email only,"Employee: I'll have limited availability by email only, and John will be covering my responsibilities.  "
422,Have you arranged for someone to cover your responsibilities? (Provide details),John,"Employee: I'll have limited availability by email only, and John will be covering my responsibilities.  "
423,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: My time off will start on June 1st, 2023."
424,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation,"Employee: This is for a vacation and my time off will end on June 15th, 2023."
425,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: This is for a vacation and my time off will end on June 15th, 2023."
426,"Please provide an emergency contact method if needed (Phone, Email).",email,"Employee: You can reach me by email only, and I'm taking the time off for a family vacation.  "
427,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",family vacation,"Employee: You can reach me by email only, and I'm taking the time off for a family vacation.  "
428,How many total days are you taking off?,15,Employee: I'll be taking 15 days off total.
429,Are there any additional notes or information related to your time off request?,No other notes,Employee: No other notes and I haven't taken any other recent time off.
430,"Have you taken any other time off recently? (If yes, please provide details)",No other notes,Employee: No other notes and I haven't taken any other recent time off.
431,Are there any additional notes or observations you would like to report?,need better safety equipment,Employee: I cut my hand while working in the lab and need better safety equipment.  
432,"How severe is the incident? (e.g., Minor, Moderate, Severe)",moderate,Employee: The incident was moderate.
433,What time did the incident occur? (Enter the time in HH:MM format),14:30,Employee: The incident occurred at 14:30. I received a cut on my hand.
434,"Were there any injuries sustained? If yes, please describe.",a cut on my hand,Employee: The incident occurred at 14:30. I received a cut on my hand.
435,How many individuals were affected by the incident? (Enter a number),one,"Employee: Just one person was affected, myself."
436,Where did the incident occur? (Please provide the specific location),Lab room 23B,"Employee: The incident occurred in Lab room 23B. My name is Henry Kim, my email is hkim@researchlab.com, and my phone number is 555-1234."
437,"Please provide your contact information (Name, Email, Phone).",555-1234,"Employee: The incident occurred in Lab room 23B. My name is Henry Kim, my email is hkim@researchlab.com, and my phone number is 555-1234."
438,"What type of safety incident are you reporting? (e.g., Workplace Injury, Fire, Hazardous Material Spill)",workplace injury,Employee: It was a workplace injury. I administered first aid after it happened.
439,What immediate actions were taken following the incident?,first aid,Employee: It was a workplace injury. I administered first aid after it happened.
440,When did the incident occur? (Enter the date in YYYY-MM-DD format),2023-02-15,Employee: The date was 2023-02-15. There was no property damage.
441,"Was there any property damage? If yes, please describe.",no,Employee: The date was 2023-02-15. There was no property damage.
442,"Were there any witnesses to the incident? (Provide names or state ""None"")",no,Employee: There were no witnesses to the incident.
443,How would you rate the employee’s contribution to team projects? (Rate from 1 to 5),four,Employee: Alex contributed quite a bit and I'd rate them a four overall.  
444,How well did the employee achieve their set goals? (Rate from 1 to 5),very well,"Employee: Alex achieved their goals very well, I'd say a five. Their job role is an artist."
445,What is the job role of the employee?,artist,"Employee: Alex achieved their goals very well, I'd say a five. Their job role is an artist."
446,What is the name of the employee being reviewed?,Alex Jordan,Employee: Alex Jordan.
447,"What type of additional training, if any, does the employee need?",Alex doesn't,"Employee: Alex doesn't need any additional training at this time. For their next review period, I'd like them to focus on increasing their output."
448,What goals should be set for the next review period?,increasing their output,"Employee: Alex doesn't need any additional training at this time. For their next review period, I'd like them to focus on increasing their output."
449,What is the overall performance rating of the employee? (Rate from 1 to 5),five,"Employee: Overall, I'd rate Alex's performance a five for this review period."
450,Describe any leadership qualities exhibited by the employee.,very creative and innovative,Employee: Alex is very creative and innovative. One area Alex could improve is time management. 
451,What areas require improvement for the employee?,time management,Employee: Alex is very creative and innovative. One area Alex could improve is time management. 
452,What is the time period for this review? (Enter the date range in YYYY-MM-DD format),"January 1st, 2023 to December 31st, 2023","Employee: The date range for this review is January 1st, 2023 to December 31st, 2023. Alex has improved their digital art skills over the past year."
453,Describe the skill development or learning growth shown by the employee.,improved their digital art skills over the past year,"Employee: The date range for this review is January 1st, 2023 to December 31st, 2023. Alex has improved their digital art skills over the past year."
454,Are there any additional notes or observations you would like to report?,We need better floor mats to prevent slips,Employee: We need better floor mats to prevent slips.  
455,"Was there any property damage? If yes, please describe.",Nothing,Employee: Nothing was damaged.
456,"How severe is the incident? (e.g., Minor, Moderate, Severe)",moderate,Employee: I would say it was moderate. The incident happened at 2:30 pm.
457,What time did the incident occur? (Enter the time in HH:MM format),2:30 pm,Employee: I would say it was moderate. The incident happened at 2:30 pm.
458,When did the incident occur? (Enter the date in YYYY-MM-DD format),"February 15th, 2023","Employee: It happened on February 15th, 2023. I sprained my ankle."
459,"Were there any injuries sustained? If yes, please describe.",sprained my ankle,"Employee: It happened on February 15th, 2023. I sprained my ankle."
460,How many individuals were affected by the incident? (Enter a number),Just me,"Employee: Just me, and it was on the warehouse floor."
461,Where did the incident occur? (Please provide the specific location),on the warehouse floor,"Employee: Just me, and it was on the warehouse floor."
462,"Were there any witnesses to the incident? (Provide names or state ""None"")",John Smith witnessed it,Employee: John Smith witnessed it. This is a report for a workplace injury.
463,"What type of safety incident are you reporting? (e.g., Workplace Injury, Fire, Hazardous Material Spill)",workplace injury,Employee: John Smith witnessed it. This is a report for a workplace injury.
464,What immediate actions were taken following the incident?,first aid,"Employee: I administered first aid. My name is Jordan Casey, email is jcasey@email.com and phone number is 555-0234."
465,"Please provide your contact information (Name, Email, Phone).",jcasey@email.com and phone number is 555-0234,"Employee: I administered first aid. My name is Jordan Casey, email is jcasey@email.com and phone number is 555-0234."
466,Have you arranged for someone to cover your responsibilities? (Provide details),John,"Employee: John will be covering my responsibilities. My time off will start on June 1st, 2023.  "
467,When does your time off start? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: John will be covering my responsibilities. My time off will start on June 1st, 2023.  "
468,"What is the reason for your time off? (Optional, but may be required for certain types of leave)",family trip,Employee: I'll be taking a family trip.
469,"Have you taken any other time off recently? (If yes, please provide details)",No,"Employee: No, I haven't taken any other time off recently."
470,When does your time off end? (Enter the date in YYYY-MM-DD format),"June 15th, 2023","Employee: I will be returning on June 15th, 2023."
471,How many total days are you taking off?,15,Employee: I will be taking 15 days off.
472,Are there any additional notes or information related to your time off request?,no other notes,Employee: There are no other notes. I will have limited availability by email during my time off.
473,"Will you be available for contact during your time off? (e.g., Yes, No, Limited availability)",limited,Employee: There are no other notes. I will have limited availability by email during my time off.
474,"What type of time off are you requesting? (e.g., Vacation, Sick Leave, Personal Day)",vacation leave,Employee: I'm requesting vacation leave. You can reach me by email at [email protected]
475,"Please provide an emergency contact method if needed (Phone, Email).",[email protected,Employee: I'm requesting vacation leave. You can reach me by email at [email protected]
476,"What type of safety incident are you reporting? (e.g., Workplace Injury, Fire, Hazardous Material Spill)",workplace injury,Employee: It was a workplace injury. 
477,"Was there any property damage? If yes, please describe.","No, there was no property damage. It happened at 2:30pm","Employee: No, there was no property damage. It happened at 2:30pm."
